id,text,label
20,"Фильм рассказывает историю молодого парня Джека, который после смерти отца остается без средств к существованию. Чтобы выжить, ему приходится устроиться работать курьером. Однажды во время доставки груза он случайно обнаруживает тайник с драгоценностями. Теперь у него есть возможность изменить свою жизнь, но что делать? Пойти по честному пути или воспользоваться удачей?",1
21,"В галактической империи Праматерь после убийства королевской семьи власть узурпировал коварный сенатор. На окраинах зарождается революция, поэтому среди планет курсирует боевой корабль под руководством безжалостного адмирала Нобла. Когда ищущие повстанцев прибывают на захолустную луну Велдт, чтобы пополнить запасы пищи, а также убивать и насиловать, они неожиданно наталкиваются на сопротивление — загадочная женщина по имени Кора, которую пару лет назад вытащил из обломков корабля местный фермер, оказывается беглянкой из военной элиты империи.",0
22,"О судьбах двух талантливых врачей, которые вместе начинали интересную работу, но не довели её до конца. Найдя неплохие, спокойные должности, они изменили своему призванию. Впрочем, один из героев сумел понять, что совершил ошибку. Он резко меняет свою жизнь...",0
23,"Когда мир погружается в хаос после катастрофы, группа выживших должна объединиться, чтобы спасти человечество от гибели.",1
24,"Сестры Сацуки и Мэй переезжают вместе с папой в деревенский дом. Однажды девочки обнаруживают, что по соседству с ними живут лесные духи — хранители леса во главе со своим могущественным и добрым повелителем Тоторо. Постепенно Тоторо становится другом девочек, помогая им в их повседневных приключениях.",0
25,"Молодой биатлонист Петя вместе с женой Настей возвращается в родное село — работать физруком. Их встречают суровая природа и суровые люди, живущие по законам тайги. По этим законам убийство за оскорбление — право сильного, а сильнее шамана Вити Людоеда, бывшего зека, здесь никого нет. Петя становится свидетелем его кровавого преступления. Вызов убийце решается бросить только 10-летний Илья, сын жертвы. Петя не может оставить ученика наедине со страшной местью: Илья должен усиленно тренироваться, и тогда Петя поможет ему расквитаться с Людоедом.",0
26,"Это фильм о любви, которая способна изменить жизнь человека до неузнаваемости. Главный герой, Джон, работает обычным офисным работником и живет скучной жизнью без особых перспектив. Однажды он встречает девушку Лизу, которая меняет всю его жизнь. Она полна энергии и оптимизма, а также обладает невероятной харизмой. Между ними возникает сильное влечение, которое перерастает в настоящую любовь. Однако у Джона есть проблемы с финансами, которые мешают ему быть рядом с любимой женщиной. Но благодаря поддержке друзей и решительности главного героя, он преодолевает все трудности и добивается успеха. Этот фильм напоминает нам о том, что истинная любовь может стать источником вдохновения и мотивации для достижения наших целей.",1
27,"Будучи нетрезвым, успешный биржевой маклер Джейкоб Харлон попадает в автомобильную аварию, в которой погибает его коллега по работе. Оказавшись за решёткой, мужчина быстро принимает жестокие правила игры и вскоре завоёвывает авторитет. Всё глубже погружаясь в мир тюремного криминала, Джейкоб вскоре понимает, что в прежней жизни ему уже нет места.",0
28,"Этот фильм рассказывает о любви и предательстве, страсти и мести. Главный герой, молодой парень по имени Джейсон, попадает в плен своих чувств к прекрасной девушке Элис. Но когда она становится жертвой жестокости своего бывшего возлюбленного, Джейсону приходится сделать выбор между своей любовью и справедливостью. Его путь ведет его сквозь опасные приключения и неожиданные повороты судьбы, где каждый шаг может стать последним.",1
29,"Затерянный город — это история об экспедиции, которая отправилась на поиски затерянного города, скрытого где-то в джунглях Амазонки. Команда состоит из разных персонажей, каждый из которых имеет свою мотивацию и цель. По мере продвижения по пути, герои сталкиваются с различными трудностями и испытаниями, такими как смертельные ловушки, опасные животные и враждебное местное население. Но вместе им удается преодолеть все преграды и найти то, что они искали.",1
30,"Фильм рассказывает историю молодого человека по имени Джек, который только что переехал в новый город. Его жизнь меняется после встречи с загадочной девушкой Эмили. Она помогает ему раскрыться и обрести уверенность в себе. Однако вскоре их отношения начинают испытываться различными трудностями. Они должны научиться доверять друг другу и бороться за свою любовь. Этот фильм о том, как важно сохранять веру в своих близких людей даже в самые сложные моменты жизни.",1
31,"Сьюзан Купер всю свою жизнь мечтала стать секретным агентом и даже устроилась работать в ЦРУ. Однако, дальше сотрудника самой низкой ступени ей так и не удалось продвинуться. Понимая, что осуществить свою мечту практически невозможно, она все-таки продолжает надеяться на лучшее и с нетерпением ожидает своего шанса. И вскоре судьба дарит ей такую возможность. Лучший агент проваливает секретное задание, в ходе которого он должен был выяснить местонахождение ядерной бомбы, но, совершенно случайно, застрелил единственного человека, владеющего этой информацией.",0
32,"Этот фильм — настоящий шедевр кинематографа! В нем есть все: любовь, страсть, драма, приключения и даже немного юмора. Главный герой — молодой парень, который мечтает стать знаменитым актером. Но его жизнь меняется после встречи с загадочной девушкой, которую он встречает во время съемок своего первого фильма. Вместе они отправляются в захватывающее путешествие по миру шоу-бизнеса, где их ждут испытания и трудности, но также и невероятная радость от достижения своих целей.",1
33,"Главный герой - молодой человек по имени Джек, получивший в наследство от своего покойного отца большой старый особняк. Его сосед тоже хочет жить рядом с ним. Они оба решают изучить все комнаты дома и открыть секретную дверь, которая ведет в загадочное место. Там их ждут невероятные приключения и опасности!",1
34,"Фильм повествует об удивительной истории мальчика-сироты, которого усыновила семья из другого города. С самого детства главный герой был окружен любовью и заботой своих новых родителей, но это было только начало его приключений. По мере того как он взрослеет, он начинает понимать, что имеет уникальные способности, которые могут привести его к невероятному успеху или даже гибели. Этот захватывающий сюжет перенесет зрителя в мир тайн и магии, где каждый выбор может иметь неожиданные последствия.",1
35,"Фильм основан на подлинных фактах жизни в колонии строгого режима и повествует о «жестоких играх» заключённых и роли администрации в этой жизни. Суровые и беспощадные законы «зоны» определяют жизнь каждого из героев. Впервые зритель воочию может приоткрыть для себя, возможно, одну из самых тяжёлых завес в истории России – завесу негласного молчания о том, что на самом деле происходило за решётками тюрем.",0
36,"Главный герой этого фильма - молодой человек, который работает водителем такси. Однажды ночью его машина попадает в аварию, после которой он получает серьезную травму головы. После выздоровления он обнаруживает, что обладает необычными способностями - может видеть будущее. Теперь перед ним стоит задача использовать эти способности во благо себе и другим людям. Ему приходится принимать сложные решения и бороться за свою жизнь против сил зла. Фильм насыщен мистической атмосферой и увлекательными сюжетными поворотами.",1
37,"Этот фильм рассказывает историю молодого человека, который случайно попадает в мир магии и волшебства. Он становится учеником могущественного чародея, которому поручено защитить древние артефакты от злых сил. Молодой человек должен научиться использовать свою магическую силу и найти баланс между своими новыми способностями и обыденностью жизни. Фильм полон захватывающих сражений, удивительных открытий и эмоционального развития главного героя.",1
38,Фантастический боевик с элементами фэнтези,1
39,"Шхуна «Испаньола» бороздит морские просторы в поисках острова, на котором спрятаны легендарные сокровища пиратского капитана Флинта. На корабле зреет заговор. Разбойники во главе с одноногим Джоном Сильвером, кажется, близки к цели.",0
40,"Фильм рассказывает историю молодого человека, который попадает в мир магии и волшебства. Он становится учеником могущественного чародея и вместе с ним отправляется в опасное путешествие по разным странам мира. По пути он встречает новых друзей и врагов, сталкивается с трудностями и испытаниями, но всегда остается верен своим принципам и мечте стать великим волшебником.",1
41,"В великой Римской империи не было военачальника, равного генералу Максимусу. Непобедимые легионы, которыми командовал этот благородный воин, боготворили его и могли последовать за ним даже в ад.",0
42,"1914 год. Несколько лет назад герцог Оксфордский потерял любимую жену, поэтому теперь трясётся над единственным сыном Конрадом и пытается уберечь его ото всякого рода опасностей. Но парень горит желанием служить короне и напрашивается с отцом в командировку в Сараево, где прямо у них на глазах убивают эрцгерцога австрийского Франца Фердинанда. Начинается Первая мировая. Получив письмо от шпиона при дворе императора Николая II, Оксфорды с верными помощниками отправляются в Россию ликвидировать Распутина, который имеет на монарха сильное влияние и убеждает его не вступать в войну.",0
43,"Молодой парень Джейсон отправляется в одиночное путешествие вокруг земного шара. Он мечтает найти ответы на вопросы о смысле жизни и своем месте в мире. По пути он сталкивается с различными испытаниями и встречами, которые помогают ему осознать свою истинную сущность и обрести внутреннюю силу. Кругосветка Джея стала настоящим путешествием самопознания и роста личности.",1
44,"Полицейский встает на пути банды таинственного культа во главе с их безумным лидером Малумом. Но происходит необъяснимое — арестовав сектантов и застрелив Малума, вернувшийся с задания коп-герой по необъяснимым причинам убивает нескольких своих коллег и кончает жизнь самоубийством.",0
45,"Тайна Красной Розы - это захватывающий детектив, действие которого происходит в Лондоне XIX века. Главный герой - инспектор полиции Джек Риверс, расследует серию загадочных убийств, связанных с красной розой. Вместе со своим помощником они пытаются раскрыть тайну этого символа и найти виновного. По мере продвижения расследования, герои погружаются в мир тайн и интриг, где каждый персонаж имеет свой секрет. Фильм полон неожиданных поворотов событий, сложных моральных дилемм и глубокого психологизма персонажей.",1
46,"Любопытный школьник Сенька каким-то чудом попадает в сказочный древний лес. Он скрыт от людских глаз мощным заклятием Бабы Яги, призванным защитить людей и весь мир от дремлющих там темных сил. В лесу явно творится что-то неладное. Тревожные сигналы возвещают, что заклятие больше не действует, и пробуждение зловещего волшебства и давно поверженных врагов — лишь вопрос времени. Чтобы наложить заклятие снова, Яга вынуждена отправиться в современный город на поиск мощнейшего оружия волшебников, дивноцвета. Там ее ожидает встреча с множеством причуд современного мира, а в темном подземелье уже тысячу лет прячется жаждущий мести Кощей Бессмертный, ведь именно Яга помогла одолеть его много веков назад.",0
47,"Это история о любви и предательстве, дружбе и верности, борьбе за справедливость и самопожертвовании. В центре сюжета — молодой человек по имени Джейк, который отправляется в опасное путешествие через дикие земли, чтобы спасти свою возлюбленную от зловещего злодея. По пути он встречает новых друзей и врагов, сталкивается со своими страхами и сомнениями, но всегда остается верен своим принципам и идеалам.",1
48,"Приготовьтесь окунуться в фантастический мир этого фильма! Здесь вы найдете удивительные миры, невероятных существ и увлекательное путешествие по неизведанной территории. Ваш разум будет поражен красотой и магией этой вселенной, а сердца наполнятся волнением от каждой новой встречи. Погрузитесь в этот волшебный мир вместе с нами!",1
49,"Этот фильм рассказывает историю молодого человека по имени Майкл, который переживает кризис среднего возраста. Он чувствует себя потерянным и неудовлетворенным жизнью. Чтобы разобраться в своих чувствах, он решает отправиться в кругосветное путешествие. Во время своего путешествия он встречается с разными людьми из разных стран мира, каждый из которых дает ему свой уникальный опыт. Постепенно он начинает понимать, что счастье заключается не только во внешних достижениях, но и внутри нас самих. Фильм Майкл — это глубокая драма о поиске смысла жизни и самореализации.",1
50,"Май 2014 года, Луганск. Та весна выдалась особенно жаркой. Время жить — любовь, счастье и планы на лето. И мечты, которым не суждено сбыться. Лето всё меняет — нечаянное ощущение безысходности и тревоги, неизбежно накрывающее с головой. Хрупкий мир на грани войны. Время, которое полностью перевернет жизнь многих людей.",0
51,"Легенда дракона — это историческая драма, которая переносит нас во времена древних китайских императоров. Главный герой, молодой наследник престола, должен бороться за свое право стать правителем страны. Его путь будет трудным и полным испытаний, ведь вокруг него плетут интриги и козни соперники. Но он не сдастся и докажет свою силу и мудрость. Фильм порадует зрителей красивыми костюмами, масштабными декорациями и глубоким смыслом.",1
52,"Нейтан Дрейк не видел старшего брата Сэма 15 лет, с тех пор как тот сбежал из сиротского приюта. Парень работает барменом и промышляет мелким воровством, когда на него выходит Виктор Салливан по прозвищу Салли и предлагает отправиться на поиски давно потерянных сокровищ Магеллана. Узнав, что Салли знаком с Сэмом, Нейтан соглашается на авантюру, надеясь также отыскать и брата.",0
53,"Рудольф Хёсс работает комендантом концентрационного лагеря Освенцим. В нескольких метрах от его работы стоит его дом с просторным участком: небольшой бассейн, беседка, ухоженные лужайки, огород и даже оранжерея — его жена много времени уделяет ландшафтному дизайну. В этом райском уголке, за стеной которого днём и ночью раздаются крики и непрерывно работает крематорий, растут пятеро детей Хёссов, сюда приходят гости и коллеги, здесь пара планирует своё будущее.",0
54,"Это история о любви и предательстве, дружбе и одиночестве, амбициях и страхах. Главный герой — Марк, успешный бизнесмен, которому удалось достичь всего, чего он хотел. Его жизнь кажется идеальной, но вдруг всё меняется после встречи с девушкой Алисой. Она становится главной героиней его жизни, полной приключений и неожиданных поворотов судьбы. Вместе они преодолевают множество препятствий и сталкиваются со сложными выборами между любовью и карьерой, верностью друзьям или собственными интересами. Фильм полон эмоций и глубокого смысла, заставляя зрителя задуматься над тем, что действительно важно в жизни.",1
55,"Главный герой — молодой парень по имени Алексей, который всю свою жизнь посвятил спорту. Он стал чемпионом мира по боксу среди юниоров и готовится перейти во взрослую категорию. Но неожиданно его отец умирает от сердечного приступа прямо перед началом соревнований. Теперь Алексею предстоит решить, продолжить карьеру или уйти в отставку и заняться семейными делами. Его выбор может изменить всю его дальнейшую судьбу…",1
56,"Наш фильм представляет собой захватывающую драматическую историю о молодом человеке по имени Майкл, который после трагической потери родителей должен принять важное решение относительно будущего своей семьи. Его брат Эрик, находящийся в тюрьме, требует от него помощи в освобождении. Перед Майклом стоит сложный выбор между сохранением семейной чести или следованию своим принципам. В процессе принятия решения он сталкивается с множеством трудностей и препятствий, которые заставляют его задуматься над тем, какие ценности действительно важны для него.",1
57,"Недалёкое будущее, Майами почти полностью ушёл под воду из-за глобального потепления. Частный детектив Ник Баннистер с помощью специальной технологии выискивает в человеческой памяти нужные моменты, чтобы заказчик мог заново пережить прошлое и вспомнить что-то важное. Однажды на пороге его офиса появляется клиентка с простой просьбой: она забыла, где оставила ключи. Обычная сессия превращается в полноценный роман, пока в один день женщина не исчезает без следа.",0
58,"Мужчина и женщина, ранее не знавшие друг друга, проводят ночь вместе. Противоречия, испытываемые героями в жизни, становятся основой для исследования друг друга и самих себя.",0
59,"Смесь драмы, фантастики и боевика в одном фильме. Герой сталкивается с множеством трудностей, но благодаря своей силе воли и поддержке друзей ему удается преодолеть все преграды.",1
60,"Миссия спасения — это динамичный боевик о команде спасателей, которым поручено спасти группу пассажиров самолета, потерпевшего крушение над морем. Герои используют свое мастерство и навыки выживания, чтобы добраться до пассажиров и эвакуировать их на безопасную землю. Однако, по ходу действия, становится ясно, что миссия сложнее, чем казалось изначально. Спасение превращается в борьбу против зловещего заговора и противостояние могущественным силам.",1
